Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$19.53,-0.05,-0.255%,40003670.00,United States,,9724,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.6058,-0.1226,-16.831%,73483694.00,Canada,2015,18835467,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$39.4291,-1.6909,-4.112%,131650335.00,United States,1988,10663,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$8.46,-0.40,-4.515%,13078179.00,United States,,77641,Technology,Diversified Commercial Services
AE,Adams Resources & Energy Inc. Common Stock,$31.13,-0.36,-1.143%,132334097.00,United States,,8083,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.77,0.06,0.689%,445093093.00,United States,,32493,,
AGE,AgeX Therapeutics Inc. Common Stock,$1.93,-0.01,-0.515%,72743721.00,,2018,267570,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.31,0.02,0.873%,91683928.00,United States,,1041545,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$9.43,0.37,4.084%,26745904.00,United States,2014,69472,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.56,-0.15,-8.772%,49498418.00,United States,,435927,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.50,-0.12,-4.58%,58038340.00,China,,198305,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.80,-0.01,-0.552%,352132430.00,United States,,8995796,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.99,0.3191,11.947%,17225390.00,United States,,444091,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$33.30,-0.70,-2.059%,231331903.00,United States,2020,1736915,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$10.76,-0.41,-3.671%,146301105.00,Canada,,637379,Health Care,Industrial Specialties
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.58,0.04,0.722%,114994721.00,United States,,28188,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.28,-0.05,-3.759%,127717432.00,Canada,,1539795,Basic Industries,Precious Metals
ASXC,Asensus Surgical Inc. Common Stock,$3.95,-0.16,-3.893%,918727940.00,United States,,8622955,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.97,-0.09,-0.993%,121871129.00,United States,,248807,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.75,-0.003,-0.398%,121852209.00,United States,,1018161,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$3.77,-0.03,-0.789%,14700855.00,United States,,22723,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.51,-0.05,-1.953%,356247247.00,Canada,,794547,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$12.18,-0.32,-2.56%,198133972.00,,,55298,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$30.76,-0.35,-1.125%,163796723.00,United States,,14323,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.815,-0.065,-0.251%,,United States,,4501,,
BDL,Flanigan's Enterprises Inc. Common Stock,$24.84,0.34,1.388%,46168791.00,United States,,613,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.52,-0.01,-0.654%,17633029.00,United States,,169463,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$4.44,0.60,15.625%,79790712.00,Canada,,4249952,Consumer Services,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$29.78,-0.56,-1.846%,444874397.00,United States,,23584,Finance,Major Banks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$11.10,1.13,11.334%,447616680.00,,2018,2357420,Basic Industries,Agricultural Chemicals
BKTI,BK Technologies Corporation Common Stock,$5.15,-0.20,-3.738%,64436625.00,United States,,31444,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$13.28,0.19,1.451%,162020011.00,,2018,63697,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,$21.52,-0.04,-0.186%,265693452.00,,,46272,Finance,Major Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$11.51,-0.54,-4.481%,264471370.00,,2014,197554,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.9835,-0.0165,-0.063%,,,,898,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.90,0.025,0.097%,,,,1872,,
BRN,Barnwell Industries Inc. Common Stock,$2.94,-0.16,-5.161%,24334850.00,United States,,83851,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.57,-0.05,-1.082%,4806659863.00,Canada,,5479235,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$2.90,0.13,4.693%,53074478.00,United States,,160329,Miscellaneous,Industrial Machinery/Components
BWL/A,Bowl America Inc.,$11.50,0.02,0.174%,,United States,,2193,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.92,0.88,43.137%,45008827.00,Israel,,173521734,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$121.73,-1.35,-1.097%,1149909176.00,United States,,18442,Consumer Durables,Building Products
CDOR,Condor Hospitality Trust Inc. Common Stock,$4.74,-0.19,-3.854%,56951645.00,United States,,126537,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$1.24,-0.09,-6.767%,31000000.00,United States,,3780681,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$37.2199,0.0093,0.025%,976665176.00,United States,,20273,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.12,-0.01,-0.076%,93592504.00,United States,1999,14617,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.02,0.04,0.401%,107998616.00,,2020,1583,Finance,Business Services
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.92,-0.0473,-0.475%,118385280.00,,2021,1891,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.33,-0.01,-0.299%,174175414.00,United States,,160032,,
CIX,CompX International Inc. Common Stock,$15.06,0.05,0.333%,187514424.00,United States,1998,3674,Capital Goods,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$10.48,-0.15,-1.411%,20357348.00,United States,,271,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$12.88,-0.43,-3.231%,1000420963.00,United States,1987,1220556,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$15.59,-0.64,-3.943%,188932451.00,Canada,,156177,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$11.78,-0.26,-2.159%,99847834.00,United States,,39028,Consumer Non-Durables,Plastic Products
COHN,Cohen & Company Inc.,$27.6552,0.1852,0.674%,36753954.00,United States,,10840,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$1.02,0.03,3.03%,46491148.00,China,,767476,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$44.13,0.26,0.593%,21359852158.00,United States,2007,177121,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$12.72,-0.40,-3.049%,522074694.00,United States,,866990,,
CRHM,CRH Medical Corporation Common Shares of Beneficial Interest,$3.87,-0.02,-0.514%,276368635.00,,2015,1312987,Health Care,Medical/Nursing Services
CTEK,CynergisTek Inc. Common Stock,$2.27,-0.08,-3.404%,24180151.00,United States,2017,25599,Miscellaneous,Business Services
CVM,Cel-Sci Corporation Common Stock,$19.94,-0.41,-2.015%,808153803.00,United States,,537811,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.7201,-1.2799,-4.571%,25815144.00,United States,,3810,Technology,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$4.88,-0.01,-0.204%,58322202.00,United States,,34625,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.39,-0.01,-0.417%,247382691.00,United States,1998,515450,,
DIT,AMCON Distributing Company Common Stock,$115.377,0.097,0.084%,63615301.00,United States,,144,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$26.77,-2.08,-7.21%,186711648.00,United States,,17720,Consumer Non-Durables,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$8.72,-0.1499,-1.69%,180946959.00,United States,1988,50675,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.17,-0.13,-10.00%,846434455.00,Canada,,51259440,Basic Industries,Precious Metals
DPW,Ault Global Holdings Inc. Common Stock,$3.57,-0.39,-9.848%,176056199.00,United States,,5216461,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$3.69,-0.06,-1.60%,102102761.00,United States,,1373280,Consumer Durables,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.35,-0.16,-10.596%,28181073.00,China,,534906,Finance,Finance: Consumer Services
DXR,Daxor Corporation Common Stock,$12.7131,0.0132,0.104%,51283082.00,United States,,135,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.35,-0.02,-0.239%,505894887.00,United States,2003,162749,,
ECF,Ellsworth Growth and Income Fund Ltd.,$13.9497,-0.2403,-1.693%,184206584.00,United States,1986,30935,,
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.25,0.13,0.498%,,United States,,3735,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.10,0.01,0.076%,942586710.00,United States,2002,55505,,
ELA,Envela Corporation Common Stock,$5.77,0.13,2.305%,155353678.00,United States,,59459,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$30.64,0.00,0.00%,387660160.00,Israel,,131,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$11.54,-0.44,-3.673%,99648419.00,United States,2011,37128,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$3.90,-0.45,-10.345%,263248448.00,United States,,1794206,Technology,Semiconductors
EMX,EMX Royalty Corporation Common Shares (Canada),$3.10,-0.07,-2.208%,261446126.00,Canada,,92290,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$2.01,-0.08,-3.828%,20641588.00,United States,,353567,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.06,0.05,0.416%,218506626.00,United States,2002,31595,,
EPM,Evolution Petroleum Corporation Inc. Common Stock,$3.68,-0.16,-4.167%,123245224.00,United States,,196636,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$8.27,-0.21,-2.476%,2004270938.00,Canada,,1724207,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.34,-0.055,-0.444%,347149966.00,United States,2003,71963,,
ERH,Wells Fargo Utilities and High Income Fund,$12.96,0.01,0.077%,120204842.00,,2004,14116,,
ESP,Espey Mfg. & Electronics Corp. Common Stock,$15.6332,0.3832,2.513%,42250802.00,United States,,20069,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$34.54,-0.17,-0.49%,185968161.00,United States,,36670,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$36.85,0.17,0.463%,451463685.00,United States,,8066,Consumer Services,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.55,0.06,0.522%,288684615.00,United States,2002,50818,,
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$12.67,-0.01,-0.079%,1471582718.00,United States,2003,383163,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$14.13,0.05,0.355%,76327830.00,United States,1999,2073,,
EXN,Excellon Resources Inc. Common Shares,$3.16,-0.02,-0.629%,101338040.00,,2020,24311,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.21,0.01,0.238%,1042799187.00,United States,1986,389283,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.22,-0.08,-0.964%,71768376.00,United States,1992,42898,,
FEN,First Trust Energy Income and Growth Fund,$13.32,-0.01,-0.075%,263346590.00,United States,2004,102355,,
FRD,Friedman Industries Inc. Common Stock,$8.23,-0.10,-1.20%,56835137.00,United States,,63922,Capital Goods,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$4.09,-0.25,-5.76%,50063829.00,Canada,,94769,Basic Industries,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$6.22,-0.34,-5.183%,667581398.00,United States,,587654,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.35,0.07,0.754%,281798107.00,United States,2003,117007,,
FTSI,FTS International Inc. Class A Common Stock,$24.91,-1.26,-4.815%,348490153.00,United States,2020,71714,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.34,-0.02,-1.471%,157883968.00,,2020,152347,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.21,-0.06,-4.724%,271346762.00,Canada,,3751246,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$5.77,-0.45,-7.235%,29611265.00,United States,,848888,Energy,Oil & Gas Production
GDP,Goodrich Petroleum Corporation Common Stock,$10.05,-0.44,-4.194%,127190639.00,United States,2017,35898,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.47,-0.06,-1.70%,541750391.00,United States,2005,794850,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.52,0.11,0.433%,,United States,,5557,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$15.19,0.00,0.00%,23520606.00,,2016,12,,
GLDG,GoldMining Inc. Common Shares,$1.67,-0.08,-4.571%,248382677.00,,,394090,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.78,0.09,0.709%,411827985.00,United States,2006,132844,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.78,0.08,0.51%,208782482.00,United States,2005,74257,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$19.4993,-0.0307,-0.157%,104781009.00,United States,2004,2976,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$44.63,0.01,0.022%,,United States,,363,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.48,0.02,0.175%,96520672.00,United States,2004,34123,,
GOED,1847 Goedeker Inc. Commom Stock,$10.20,-0.80,-7.273%,62334240.00,United States,2020,28596,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$2.85,-0.02,-0.697%,212151734.00,United States,,904117,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.8219,-0.0201,-2.387%,291832372.00,Canada,,1923497,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.30,0.0044,0.053%,33816864.00,United States,,2357,,
GROY,Gold Royalty Corp. Common Shares,$4.845,-0.125,-2.515%,197797125.00,,2021,504782,Basic Industries,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.62,-0.11,-6.358%,2718163549.00,United States,2006,13229414,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.14,-0.03,-0.946%,349524688.00,United States,,161551,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.6449,-0.0333,-4.91%,230536405.00,Canada,,5088520,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.8143,-0.038,-4.459%,298833081.00,Canada,,7681941,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$26.33,0.3185,1.224%,,United States,,28970,,
HMG,HMG/Courtland Properties Inc. Common Stock,$13.00,0.00,0.00%,13094224.00,United States,,49,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Trust Pioneer Diversified High Income Trust Common Shares of Beneficial Interest,$14.77,-0.005,-0.034%,123075308.00,United States,2007,47622,,
HUSA,Houston American Energy Corporation Common Stock,$2.15,-0.10,-4.444%,19535412.00,United States,,699656,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$79.00,0.00,0.00%,,United States,,14,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$5.86,0.04,0.687%,135521296.00,United States,,73112,,
IBIO,iBio Inc. Common Stock,$1.76,-0.06,-3.297%,380177479.00,United States,,4770464,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$7.00,-0.24,-3.315%,230114199.00,United States,2017,29778,Technology,Advertising
IGC,India Globalization Capital Inc. Common Stock,$1.83,-0.08,-4.188%,83020371.00,United States,,1735865,Technology,Electronic Components
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.89,-0.02,-0.687%,26277065.00,United States,,139602,Consumer Services,Real Estate Investment Trusts
